Alimento;Unidad individual;Peso unitario individual;Porción comestible;Energía (kcal/100 g);Proteína (g/100 g);Lípidos totales (g/100 g);AG Saturados (g/100 g);Colesterol (g/100 g);Hidratos de Carbono ((g/100 g);Azúcar (g/100 g);Fibra (g/100 g);Na, Sodio [mg/100 g];Subgrupo
Leche Alpura Light Extra;taza;240;1;42.8;3.3;1;0;0;5.8;0;1;56;Leche descremada
Leche descremada;taza;245;1;35.1;3.4;0.2;0.1;1.6;4.9;0;0;51.4;Leche descremada
Leche descremada con chocolate;taza;240;1;32;2.4;0.4;0;0;5.2;0;0;48;Leche descremada
Leche descremada en polvo;cucharada;7.5;1;363.3;36;0.7;0.3;20;52;50.3;0;536.7;Leche descremada
Leche en polvo descremada;cucharada;7.5;1;363.3;36;0.7;0.3;20;52;50.3;0;536.7;Leche descremada
Leche evaporada descremada;taza;240;1;78.1;7.5;0.3;0;3.1;11.3;0;0;115.6;Leche descremada
Leche Light Extra;taza;240;1;42.8;3.3;1;0;0;5.8;0;1;56;Leche descremada
Sofúl LT durazno;envase;106;1;59.4;4.1;0.1;ND;ND;10.5;0;0;50.9;Leche descremada
Sofúl LT fresa;envase;106;1;60.4;4.1;0.2;ND;ND;10.8;0;0;50.9;Leche descremada
Sofúl LT manzana;envase;106;1;56.6;4.1;0.2;ND;ND;9.7;0;0;51.9;Leche descremada
Sofúl LT natural;envase;105;1;68.6;3.6;2.2;ND;ND;8.6;0;0;45.7;Leche descremada
Sofúl LT para beber fresa;envase;209;1;46;2.9;0.4;ND;ND;7.7;0;0;44.2;Leche descremada
Sofúl LT para beber mango;envase;208;1;45;2.9;0.1;ND;ND;8.1;0;0;44.2;Leche descremada
Sofúl LT para beber natural;envase;208;1;45;2.8;0.6;ND;ND;7.2;0;0;44.4;Leche descremada
Vitalinea bebible;pieza;240;1;45.5;2.6;1.5;0;0;5.5;4.2;0;46.3;Leche descremada
Vitalinea sólido;pieza;125;1;54.5;4;1.6;0;0;6.4;4.8;0;56.8;Leche descremada
Yoghurt bajo en grasa;taza;240;1;110.6;3.6;1.1;0.7;6.6;21.4;20.5;0.1;48.9;Leche descremada
Yoghurt light;taza;240;1;52.9;3.5;0;0;2.9;8.8;5.3;0;55.9;Leche descremada
Yoghurt light de fruta;taza;240;1;52.9;2.9;0;0;2.9;9.4;5.9;0;44.1;Leche descremada
Jocoque;cucharada;15;1;168;9.3;12.8;0;0;3.8;0;0;331;Leche entera
Jocoque ligero;cucharada;15;1;168;9.3;12.8;0;0;3.8;0;0;331;Leche entera
Jocoque seco;cucharada;15;1;168;9.3;12.8;0;0;3.8;0;0;331;Leche entera
Leche;taza;240;1;61.5;3.3;3.3;2.1;13.5;4.7;0;0;49.2;Leche entera
Leche caliente;taza;240;1;61.5;3.3;3.3;2.1;13.5;4.7;0;0;49.2;Leche entera
Leche clavel;taza;240;1;125;6.3;6.3;4.7;31.3;9.4;9.4;0;93.8;Leche entera
Leche cruda;taza;240;1;61;3.3;3.3;2.1;14;4.7;0;0;49;Leche entera
Leche de burra;taza;237;1;53;2;2.4;0;0;6.1;0;0;0;Leche entera
Leche de cabra;taza;240;1;68.9;3.6;4.1;2.7;11.5;4.5;0;0;50;Leche entera
Leche de vaca;taza;240;1;61.5;3.3;3.3;2.1;13.5;4.7;0;0;49.2;Leche entera
Leche en polvo;cucharada;8;1;496.9;26.3;26.6;16.9;96.9;38.4;35.9;0;371.9;Leche entera
Leche entera;taza;240;1;61.5;3.3;3.3;2.1;13.5;4.7;0;0;49.2;Leche entera
Leche entera baja en sodio;taza;240;1;61.1;3.1;3.4;2.2;13.5;4.5;0;0;2.5;Leche entera
Leche entera en polvo;cucharada;8;1;496.9;26.3;26.6;16.9;96.9;38.4;35.9;0;371.9;Leche entera
Leche entera en polvo adicionada;cucharada;8;1;496.9;26.3;26.6;16.9;96.9;38.4;35.9;0;371.9;Leche entera
Leche entera evaporada;taza;240;1;125;6.3;6.3;4.7;31.3;9.4;9.4;0;93.8;Leche entera
Leche entera ultrapasteurizada;taza;240;1;56;2.9;2.9;0;6;4.7;0;0;49.2;Leche entera
Leche evaporada;taza;240;1;125;6.3;6.3;4.7;31.3;9.4;9.4;0;93.8;Leche entera
Leche fría;taza;240;1;61.5;3.3;3.3;2.1;13.5;4.7;0;0;49.2;Leche entera
Leche hervida;taza;240;1;68;3.4;3.8;2.1;14;5.2;0;0;49;Leche entera
Leche humana;taza;240;1;71;1;4.5;1.9;12.9;6.8;0;0;16.1;Leche entera
Leche Liconsa Te Nutre;cucharada;8;1;496.9;26.3;26.6;16.9;96.9;38.4;35.9;0;371.9;Leche entera
Leche materna;taza;240;1;71;1;4.5;1.9;12.9;6.8;0;0;16.1;Leche entera
Leche maternizada en polvo;cucharada;13;1;507;13.3;27;0;0;55.1;0;0;0;Leche entera
Leche omega verde;taza;240;1;50;3.3;1.9;1.2;8;4.8;0;0;50;Leche entera
Leche pasteurizada;taza;240;1;61;3.3;3.3;2.1;14;4.7;0;0;49;Leche entera
Leche preparada;taza;240;1;58.7;2.7;2.4;2.1;13.5;3.5;0;0;49.2;Leche entera
Yoghurt;taza;227;1;61.2;3.5;3.3;2.1;12.8;4.7;0;0;46.3;Leche entera
Yoghurt natural;taza;227;1;61.2;3.5;3.3;2.1;12.8;4.7;0;0;46.3;Leche entera
Leche evaporada semidescremada;taza;240;1;78.1;6.3;1.6;0;15.6;9.4;9.4;0;109.4;Leche semidescremada
Leche fácil digestión;taza;240;1;45.6;3.1;1.6;0;0;4.7;0;0;50;Leche semidescremada
Leche semidescremada;taza;240;1;50;3.3;1.9;1.2;8;4.8;0;0;50;Leche semidescremada
Leche semidescremada 1%;taza;244;1;41.8;3.3;1.1;0.7;4.1;4.8;0;0;50.4;Leche semidescremada
Leche semidescremada 2%;taza;244;1;49.6;3.3;1.9;1.2;7.4;4.8;0;0;50;Leche semidescremada
Vitalinea bebible sabor fresa y guayaba;envase;240;1;40.8;2.4;1;0.6;ND;5.7;4;0;42.8;Leche semidescremada
Yoghurt Oikos, estilo griego, sabor Arándano;envase;150;1;128.7;4.3;4.5;2.9;ND;17.9;16;0.9;45.3;Leche semidescremada
Yoghurt Oikos, estilo griego, sabor Coco;envase;150;1;129.3;4.5;5.3;3.3;ND;15.9;15;0.1;49.4;Leche semidescremada
Yoghurt Oikos, estilo griego, sabor Fresa;envase;150;1;121.2;4.1;4.4;2.9;ND;16.3;14.9;0.1;43.5;Leche semidescremada
Yoghurt Oikos, estilo griego, sabor Natural;envase;150;1;120.8;4.8;5.3;3.5;ND;13.4;12.7;0;50.9;Leche semidescremada
Activia natural sólido;pieza;125;1;91.9;3.3;3.3;0;0;12.1;11;0;46.2;Leche con azúcar
Alimento lácteo fermentado con Acti-Regularis sabor Ciruela Pasa (bebible);pieza;250;1;80;2.4;1.6;0;0;14.4;13.2;0;41.6;Leche con azúcar
Alimento lácteo fermentado con Acti-Regularis sabor Ciruela Pasa (sólido);pieza;125;1;97.6;3;3;0;0;14.6;13.4;2;42.3;Leche con azúcar
Alimento lácteo fermentado con Acti-Regularis sabor Fresa (bebible);pieza;250;1;79.6;2.4;1.5;0;0;14.4;13;0;43.5;Leche con azúcar
Alimento lácteo fermentado con Acti-Regularis sabor Fresa (sólido);pieza;125;1;97.6;3;3;2;0;14.6;13.5;2;42.3;Leche con azúcar
Alimento lácteo fermentado sabor fresa (Lactobacillus casei y Streptococcus thermophilus);pieza;108;1;87;3.5;2;0;0;13.7;13.7;0;43;Leche con azúcar
Alimento lácteo fermentado sabor manzana (Lactobacillus casei y Streptococcus thermophilus);pieza;108;1;74.4;3.8;0.2;0;0;14.4;14;0;45;Leche con azúcar
Alimento lácteo fermentado sabor natural (Lactobacillus casei y Streptococcus thermophilus);pieza;108;1;74.7;4;0.2;0;0;14.4;13;0;48;Leche con azúcar
Chongos zamoranos;taza;200;1;180;6;3;2;10;32;28;0;50;Leche con azúcar
Helado de café;taza;181;1;216;3.8;11;6.8;34;28.2;25.4;1.2;76;Leche con azúcar
Helado de café bajo en calorías;taza;182;1;201;5.3;7.3;4.3;41;29.7;24;1;75;Leche con azúcar
Helado de chocolate;taza;132;1;216;3.8;11;6.8;34;28.2;25.4;1.2;76;Leche con azúcar
Helado de chocolate bajo en calorías;taza;132;1;201;5;7.2;4.4;10;29;24.7;0.8;71;Leche con azúcar
Helado de fresa;taza;132;1;192;3.2;8.4;5.2;29;27.6;23.2;0.9;60;Leche con azúcar
Helado de fresa bajo en calorías;taza;187;1;162;4.8;4.6;2.9;15;25.3;22.8;0.2;71;Leche con azúcar
Helado de vainilla;taza;132;1;201;3.5;11;6.8;44;23.6;21.2;0.7;80;Leche con azúcar
Helado de vainilla bajo en calorías;taza;132;1;165;4.8;4.8;2.9;10;25.8;22.1;0.3;74;Leche con azúcar
Helado de yogur;taza;174;1;127;3;3.6;2.3;13;21.6;21.4;1.3;63;Leche con azúcar
Helado de yogur de fresa;taza;174;1;127;3;3.6;2.3;13;21.6;21.4;1.3;63;Leche con azúcar
Helado napolitano;taza;136;1;201;3.5;11;6.8;44;23.6;21.1;0.7;80;Leche con azúcar
Helado napolitano bajo en calorías;taza;181;1;161;4.7;4.4;2.7;14;26.1;22.5;0.4;69;Leche con azúcar
Leche con chocolate;taza;240;1;83.2;3.2;3.4;2.1;12.4;10.4;9.5;0.8;59.6;Leche con azúcar
Leche con chocolate semidescremada 1%;taza;240;1;76;3;1.9;0.6;2.8;12.1;9.6;0.7;66;Leche con azúcar
Leche con vainilla;taza;240;1;95;2.9;3;1.7;11;14.2;12.7;0;55;Leche con azúcar
Leche descremada con chocolate;taza;240;1;63;3.2;1;0.6;3;10.4;9.9;0.5;61;Leche con azúcar
Leche en polvo sabor fresa;cucharada;7;1;333.3;23.8;0;0;0;57.1;0;0;714.3;Leche con azúcar
Leche en polvo sabor vainilla;cucharada;7;1;333.3;23.8;0;0;0;57.1;0;0;714.3;Leche con azúcar
Leche fermentada con lactobacilo;pieza;100;1;72;3;1.6;1.1;0;14.3;14.3;0;40;Leche con azúcar
Leche fermentada con lactobacilo sabor naranja;pieza;100;1;74;2.9;1.5;1.1;0;16;16;0;40;Leche con azúcar
Leche fermentada con lactobacilo sabor natural;pieza;100;1;83;2.8;1.6;0;0;14.3;14.3;0;40;Leche con azúcar
Leche fermentada con lactobacilo sabor vainilla;pieza;100;1;88;2.7;1.5;0;0;16;16;0;40;Leche con azúcar
Leche malteada de chocolate;taza;240;1;84;3.4;3.3;1.9;10;10.9;10.5;0.4;87;Leche con azúcar
Leche malteada sabor chocolate;pieza;240;1;119;3.1;2.7;1.7;11;21.2;20.9;0.3;111;Leche con azúcar
Leche malteada sabor fresa;pieza;240;1;112;3.9;3;1.9;12;17.8;17.8;0;95;Leche con azúcar
Leche malteada sabor vainilla;pieza;240;1;112;3.9;3;1.9;12;17.8;17.8;0;95;Leche con azúcar
Leche semidescremada sabor chocolate;pieza;240;1;76;3;1.9;1.1;8;12.1;9.6;0.7;66;Leche con azúcar
Malteada de chocolate;taza;240;1;127;3.4;3.7;2.3;12.8;20.5;18.6;1.9;97;Leche con azúcar
Malteada de fresa;pieza;240;1;113;3.4;2.8;1.7;11;18.9;18.5;0.4;83;Leche con azúcar
Malteada de vainilla;pieza;240;1;148;3.4;6.5;4;23;19.6;13.6;0.9;81;Leche con azúcar
Nescafe Dolce Gusto  latte macchiato (1 cápsula de leche+ 1 cápsula de café);cápsula;25;1;364;17.2;16.8;8;51;36.4;36;1;256;Leche con azúcar
Nescafe Dolce Gusto caramel latte macchiato (1 cápsula de leche con azúcar+ 1 cápsula de café);capsula;21;1;374;12.3;14.8;8.4;ND;47.8;43.1;11;137;Leche con azúcar
Nescafe Dolce Gusto Chococino (1 cápsula de leche + 1 cápsula de cocoa);capsula;34;1;437;14.6;16.1;9.6;44;58.6;55.8;5.8;182;Leche con azúcar
Yoghurt bebible sabor durazno;pieza;165;1;68;2.4;0.7;0.5;0;12.4;12.3;0.1;30.1;Leche con azúcar
Yoghurt bebible sabor fresa;pieza;165;1;68;2.4;0.7;0.5;0;12.4;12.3;0.1;0;Leche con azúcar
Yoghurt bebible sabor piña colada;pieza;165;1;68;2.4;0.7;0.5;0;12.4;12.3;0.1;30.1;Leche con azúcar
Yoghurt de café;taza;240;1;100;4.7;1.2;0.6;5.9;18.2;16.5;0;52.9;Leche con azúcar
Yoghurt de fruta;taza;240;1;111.8;4.7;1.8;1.2;8.8;18.8;17.6;0;58.8;Leche con azúcar
Yoghurt de vainilla;taza;240;1;111.8;4.7;1.8;1.2;8.8;18.8;17.1;0;55.9;Leche con azúcar
Yoghurt para beber sabor fruta;pieza;250;1;69;1.9;1.6;0;0;12;0;0;26;Leche con azúcar
Yogurt de soya;taza;180;1;93.9;3.5;1.8;0;0;16;0;0.2;257;Leche con azúcar
Alubia cocida (chica o grande);taza;179;1;139;9.7;0.4;0.1;0;25.1;0.3;6.3;6;Leguminosas
Alubia cruda (chica o grande);g;1;1;333;23.3;0.9;0.4;0;60.3;2.1;15.2;16;Leguminosas
Alubia enlatada guisada;taza;262;1;114;7.3;0.3;0;0;21.2;0.3;4.8;346.9;Leguminosas
Alubia germinada;taza;190;1;33;4.8;0.6;0.1;0;4.7;0;0;7;Leguminosas
Alverjón  o chícharo seco crudo;g;1;1;341;24.6;1.2;0.2;0;60.4;8;25.2;15;Leguminosas
Alverjón o chícharo seco cocido;taza;196;1;118;8.3;0.4;0.1;0;21.1;2.9;8.3;2;Leguminosas
Chícharo germinado cocido;taza;205;1;98;7.1;0.5;0.1;0;17.1;0;ND;3;Leguminosas
Frijol germinado cocido;taza;124;1;78;7.1;0.8;0.1;0;15;0;8.6;14;Leguminosas
Frijol germinado crudo;taza;104;1;67;6.2;0.7;0.1;0;13.1;0;0;13;Leguminosas
Frijol molido;taza;220;1;132;8.9;0.5;0.1;0;23.7;0.3;8.7;1.2;Leguminosas
Frijol promedio cocido;taza;172;1;132;8.9;0.5;0.1;0;23.7;0.3;8.7;1.2;Leguminosas
Frijol promedio crudo;g;1;1;341;21.6;1.4;0.2;0;62.4;2.1;15.2;5;Leguminosas
Frijoles enteros enlatados;taza;256;1;84;5.2;0.6;;;14.5;1.9;5.3;296;Leguminosas
Gandul;g;1;1;347;17.6;1.7;0.3;0;66.8;0;8.6;17;Leguminosas
Garbanzo cocido;taza;164;1;164;8.8;2.6;0.2;0;27.4;4.8;7.6;6.7;Leguminosas
Garbanzo crudo;g;1;1;364;19.3;6.2;0.6;0;60.7;10.7;17.4;24;Leguminosas
Garbanzo enlatado;taza;240;1;119.2;5;1.1;0.1;0;22.6;0;4.4;299.2;Leguminosas
Haba seca cocida;taza;170;1;110;7.6;0.4;0;0;19.7;1.8;5.4;5;Leguminosas
Haba seca cruda;taza;150;1;341;26.1;1.5;0.3;0;58.3;5.7;25;13;Leguminosas
Harina de frijol;cucharada;109.375;1;336;22.5;2.1;0.4;0;59.1;0;4.6;8;Leguminosas
Harina de garbanzo;cucharada;109.375;1;357;20.1;6.6;0.7;0;57.1;0;4.7;26;Leguminosas
Harina de haba;cucharada;109.375;1;348;27.6;1.9;0.2;0;58.1;0;1.7;13;Leguminosas
Harina de lenteja;cucharada;109.375;1;329;24.6;1.6;0;0;56.5;0;3.8;0;Leguminosas
Harina de soya;cucharada;6.125;1;439;37.8;20.7;2.9;0;31.9;0;9.6;12;Leguminosas
Harina de soya baja en grasa;cucharada;6.125;1;372;49.8;8.9;0.1;0;30.6;10.2;9.6;18;Leguminosas
Harina de soya sin grasa;cucharada;5.5;1;369;50.9;6.7;0.1;0;35.9;19.8;9.6;9;Leguminosas
Hummus;cucharada;15;1;166;7.9;9.6;1.4;0;14.3;0;6;379;Leguminosas
Ibes o haba de lima cocido;taza;170;1;123;6.8;0.3;0.2;0;23.6;1.6;5.3;17;Leguminosas
Ibes o haba de lima crudo;g;1;1;113;6.8;0.9;0.2;0;20.2;1.5;4.9;8;Leguminosas
Lenteja cocida;taza;198;1;116.2;9;0.4;0.1;0;20.2;1.8;7.9;2;Leguminosas
Lenteja cruda;g;1;1;353;25.8;1.1;0.1;0;60.1;2;30.5;6;Leguminosas
Miso (soybean paste);g;1;1;200;11.8;6.1;0;0;26.4;6.1;5.4;3728.6;Leguminosas
Soya cocida;taza;172;1;173;16.6;9;;;9.9;3;6;1;Leguminosas
Soya texturizada;g;1;1;317.9;38.6;2.9;0.4;0;38.9;0;17.9;10.7;Leguminosas
Achiote;cucharada;15;1;266;14.2;4;0;0;55.5;0;13.8;0;Libre
Agua;taza;240;1;0;0;0;0;0;0;0;0;3;Libre
Agua mineral;lata;355;1;0;0;0;0;0;0;0;0;21;Libre
Ajo en polvo;cucharadita;3;1;333.3;16.7;0;0;0;73.3;0;10;33.3;Libre
Albahaca deshidratada;cucharadita;1;1;300;10;0;0;0;60;0;40;0;Libre
Albahaca molida;cucharadita;1;1;300;10;0;0;0;60;0;40;0;Libre
Alcaparras;cucharada;8.6;1;23;2.3;0.9;0.2;0;4.8;0;3.2;2964;Libre
Alcaravea;cucharadita;2;1;350;20;15;0;0;50;0;40;0;Libre
Anís;cucharadita;2;1;350;20;15;0;0;50;0;15;0;Libre
Arúgula;taza;20;1;25;2.6;0.7;0.1;0;3.7;0;1.6;27;Libre
Aspartame;sobre;1.2;1;0.5;0;0;0;0;0;0;0;0;Libre
Azafrán;cucharadita;1;1;300;10;10;0;0;70;0;0;100;Libre
Café americano;taza;240;1;2.3;0.1;0;0;0;0.4;0;0;2.3;Libre
Café de grano;cucharada;8;1;8;20;0;0;0;0;0;0;0;Libre
Café descafeinado;taza;240;1;2.3;0.1;0;0;0;0.4;0;0;2.3;Libre
Café descafeinado preparado;taza;240;1;2.3;0.1;0;0;0;0.4;0;0;2.3;Libre
Café en polvo;cucharada;2.3;1;328;5.5;3.4;0.6;0;81;0;8.9;73;Libre
Café en polvo descafeinado;cucharadita;1.8;1;222.2;11.1;0;0;0;38.9;0;0;55.6;Libre
Café express;taza;80;1;2.3;0.1;0;0;0;0.4;0;0;2.3;Libre
Café instantáneo;cucharadita;1.8;1;222.2;11.1;0;0;0;38.9;0;0;55.6;Libre
Café instantáneo preparado;taza;240;1;2.2;0.1;0;0;0;0.4;0;0;2.8;Libre
Café molido;cucharada;4;1;15;20;0.1;0;0;0;0;0;0;Libre
Café ó té sin azúcar;taza;240;1;1.1;0;0;0;0;0.2;0;0;1.1;Libre
Café sin azúcar;taza;240;1;2.3;0.1;0;0;0;0.4;0;0;2.3;Libre
Caldo;taza;240;1;7.1;1.1;0.2;0.1;0;0;0;0;325.8;Libre
Caldo de carne;taza;240;1;7.1;1.1;0.2;0.1;0;0;0;0;325.8;Libre
Caldo de carne concentrado;taza;248;1;12.1;2.4;0;0;2.4;0.8;0;0;725.8;Libre
Caldo de pescado;taza;240;1;7.1;1.1;0.2;0.1;0;0;0;0;325.8;Libre
Caldo de pollo;taza;240;1;7.5;1.1;0.3;0.1;0;0.4;0;0;318;Libre
Caldo de pollo concentrado;taza;248;1;24.2;1.6;1.6;0.4;0;1.6;0.8;0;621;Libre
Caldo de pollo enlatado;taza;248;1;24.2;1.6;1.6;0.4;2.4;1.6;0.8;0;621;Libre
Caldo de res;taza;240;1;7.1;1.1;0.2;0.1;0;0;0;0;325.8;Libre
Caldo de res enlatado;taza;248;1;12.1;2.4;0;0;2.4;0.8;0;0;725.8;Libre
Canela;cucharadita;2;1;250;5;5;0;0;80;0;55;50;Libre
Canela en polvo;cucharadita;2;1;250;5;5;0;0;80;0;55;50;Libre
Canela en raja;raja;10;1;250;5;5;0;0;80;0;55;50;Libre
Canela molida;cucharadita;2;1;250;5;5;0;0;80;0;55;50;Libre
Cardamomo;cucharadita;2;1;300;10;5;0;0;70;0;30;0;Libre
Cardamomo molido;cucharadita;2;1;300;10;5;0;0;70;0;30;0;Libre
Cáscara de limón;cucharadita;2;1;50;1.7;0;0;0;16.7;0;10;0;Libre
Cáscara de naranja;cucharadita;2;1;100;1.7;0;0;0;25;0;10;0;Libre
Cebolla deshidratada;cucharadita;1.2;1;333.3;0;0;0;0;66.7;0;33.3;333.3;Libre
Cebolla en polvo;cucharadita;2;1;350;10;0;0;0;80;0;5;50;Libre
Cebollín;cucharadita;1;1;33.3;3.3;0;0;0;3.3;0;3.3;0;Libre
Cebollín deshidratado;cucharadita;0.4;1;4;0;0;0;0;0;0;0;0;Libre
Cebollín fresco;cucharadita;1;1;33.3;3.3;0;0;0;3.3;0;3.3;0;Libre
Cebollín liofilizado;cucharada;0.2;1;250;25;0;0;0;62.5;0;25;125;Libre
Chicle sin azúcar;pieza;3;1;333.3;0;0;0;0;66.7;66.7;0;0;Libre
Chile cascabel;g;1;1;312;12.9;6.4;0;0;63.6;0;31.1;0;Libre
Chile en polvo;pieza;0.5;1;320;14.4;6.4;0;0;64.9;0;35;0;Libre
Chile piquín;pieza;0.5;1;320;14.4;6.4;0;0;64.9;0;35;0;Libre
Chile piquín molido;cucharadita;3;1;300;13.3;16.7;3.3;0;53.3;0;33.3;1000;Libre
Chocolate para repostería sin azúcar;g;1;1;521.4;10.4;55.4;32.5;0;28.2;0;15.4;14.3;Libre
Clavo;cucharadita;2;1;300;5;20;5;0;60;0;35;250;Libre
Clavo de olor;cucharadita;2;1;300;5;20;5;0;60;0;35;250;Libre
Clavo en polvo;cucharadita;2;1;300;5;20;5;0;60;0;35;250;Libre
Clavo entero;g;1;1;300;5;20;5;0;60;0;35;250;Libre
Clavo molido;cucharadita;2;1;300;5;20;5;0;60;0;35;250;Libre
Clight;sobre;1.2;1;223;0;0;0;0;55.7;7.7;0;180;Libre
Coca Cola de dieta;lata;240;1;0.4;0;0;0;0;0;0;0;1.6;Libre
Coca Cola sin azúcar;lata;240;1;0.4;0;0;0;0;0;0;0;3;Libre
Coca light;lata;240;1;0.4;0;0;0;0;0;0;0;1.6;Libre
Cocacola de dieta;lata;240;1;0.4;0;0;0;0;0;0;0;1.6;Libre
Cocoa en polvo con aspartame;cucharada;11;1;320;25.3;2.7;2;6.7;56.7;0;2.7;1120;Libre
Cocoa sin azúcar;cucharada;8;1;420;26;10;6;0;54;0;28;20;Libre
Cocoa sin azúcar Hershey;cucharada;8;1;420;26;10;6;0;54;0;28;20;Libre
Comino;cucharadita;2;1;350;20;20;0;0;45;0;10;150;Libre
Comino entero;cucharadita;2;1;350;20;20;0;0;45;0;10;150;Libre
Comino molido;cucharadita;2.4;1;500;16.7;16.7;0;0;33.3;0;33.3;166.7;Libre
Concentrado de pollo;g;1;1;200;14;4;2;20;24;0;0;24000;Libre
Consomé;taza;240;1;16;2;0.6;0.2;0;0.4;0;0;318;Libre
Consomé de camarón en polvo;cucharada;12;1;200;14;4;2;20;24;0;0;24000;Libre
Consomé de pescado;g;1;1;27.7;0.2;2;0.3;0;1;0.3;0.2;96.2;Libre
Consomé de pollo;taza;240;1;16;2;0.6;0.2;0;0.4;0;0;318;Libre
Consomé de pollo bajo en grasa;cucharada;12;1;9.1;0.5;0;0;0;1.4;0;0;200;Libre
Consomé de pollo desgrasado en polvo;cucharada;12;1;20;0.2;3;50;0;3.3;1;16.7;0;Libre
Consomé de pollo en cubo;pieza;6;1;200;14;4;2;20;24;0;0;24000;Libre
Consomé de pollo en polvo;cucharada;12;1;200;14;4;2;20;24;0;0;24000;Libre
Consomé de res;taza;240;1;7.1;1.1;0.2;0.1;0;0;0;0;325.8;Libre
Consomé de res condensado;taza;240;1;14;2.2;0.4;0.2;0;0;0;0;652;Libre
Consomé de res en cubo;pieza;6;1;233.3;16.7;8.3;5;16.7;23.3;0;0;16983.3;Libre
Consomé de res en polvo;cucharada;12;1;14;0.2;1.4;23.3;0;3.3;1;16.7;16.7;Libre
Consomé de res enlatado;taza;240;1;14;2.2;0.4;0.2;0;0;0;0;652;Libre
Consomé en polvo;cucharada;12;1;200;14;4;2;20;24;0;0;24000;Libre
Consomé sabor tomate;g;1;1;302;12.9;0.4;0.1;0;74.7;0;16.5;134;Libre
Cremor tártaro;cucharadita;3;1;266.7;0;0;0;0;60;0;0;66.7;Libre
Cubo consomé;pieza;24;1;200;14;4;2;20;24;0;0;24000;Libre
Curry;cucharadita;2;1;350;15;15;0;0;60;0;35;50;Libre
Curry en polvo;cucharadita;2;1;350;15;15;0;0;60;0;35;50;Libre
Decaf;cucharadita;1.8;1;222.2;11.1;0;0;0;38.9;0;0;55.6;Libre
Diet coke;taza;240;1;0.4;0;0;0;0;0;0;0;1.6;Libre
Diet sprite;taza;240;1;1.3;0;0;0;0;0;0;0;0;Libre
Eneldo;cucharadita;1.5;1;44.4;3.3;1.1;0;0;6.7;0;2.2;55.6;Libre
Eneldo deshidratado;cucharadita;1;1;300;20;0;0;0;60;0;10;200;Libre
Eneldo en semilla;cucharadita;2;1;300;15;15;0;0;55;0;20;0;Libre
Especias para sazonar aves;cucharadita;2;1;300;10;10;5;0;65;0;10;50;Libre
Estragón;cucharadita;2;1;300;25;5;0;0;50;0;5;50;Libre
Estragón molido;cucharadita;2;1;300;25;5;0;0;50;0;5;50;Libre
Estragón seco;cucharadita;2;1;300;25;5;0;0;50;0;5;50;Libre
Extracto de vainilla;cucharadita;5;1;150;0;0;0;0;7.5;0;0;0;Libre
Flor de jamaica;taza;37;1;55;1;0.6;0;0;11.3;0;1.1;6;Libre
Gelatina de dieta;taza;240;1;7.1;1.1;0;0;0;0.7;0;0;47.9;Libre
Gelatina sin azúcar preparada;taza;121;1;8.3;0.8;0;0;0;0;0;0;46.3;Libre
Gengibre;cucharadita;2;1;70.8;1.7;0.8;0;0;15;0;2.1;12.5;Libre
Gengibre fresco;cucharadita;2;1;70.8;1.7;0.8;0;0;15;0;2.1;12.5;Libre
Gengibre molido o en polvo;cucharadita;2;1;350;10;5;0;0;70;0;15;50;Libre
Grenetina sin sabor;sobre;10;1;350;60;0.1;0;0;30;0;0;150;Libre
Hierbabuena;g;1;1;46;2.3;1.6;0;0;7.7;0;1.2;0;Libre
Hierbas de olor;cucharadita;2;1;250;5;10;5;0;70;0;20;100;Libre
Hierbas finas;cucharadita;2;1;250;5;10;5;0;70;0;20;100;Libre
Hierbas molidas;cucharadita;2;1;250;5;10;5;0;70;0;20;100;Libre
Hinojo;g;1;1;31;1.3;0.2;0;0;7.2;0;3.1;51.7;Libre
Hoja de aguacate;pieza;3;1;25;2.7;0.2;0;0;4.7;0;0.8;0;Libre
Hojas de laurel;pieza;1;1;300;10;10;0;0;70;0;30;0;Libre
Jamaica;taza;37;1;55;1;0.6;0;0;11.3;0;1.1;6;Libre
Jengibre;cucharadita;2;1;70.8;1.7;0.8;0;0;15;0;2.1;12.5;Libre
Jengibre fresco;cucharadita;2;1;70.8;1.7;0.8;0;0;15;0;2.1;12.5;Libre
Jengibre molido o en polvo;cucharadita;2;1;350;10;5;0;0;70;0;15;50;Libre
Koll-Aid en polvo sin azúcar;sobre;1.2;1;416.7;0;0;0;0;0;0;0;166.7;Libre
Laurel;hoja;1;1;300;10;10;0;0;70;0;30;0;Libre
Laurel fresco;hoja;1;1;300;10;10;0;0;70;0;30;0;Libre
Laurel troceado;cucharadita;1;1;300;10;10;0;0;70;0;30;0;Libre
Levadura comprimida;sobre;17;1;105.9;8.2;1.8;0;0;18.2;0;8.2;29.4;Libre
Levadura en polvo;sobre;7;1;300;38.6;4.3;0;0;38.6;0;21.4;57.1;Libre
Levadura fresca;g;1;1;231.3;42.8;0;0;0;42.5;0;0;107;Libre
Levadura seca;sobre;7;1;300;38.6;4.3;0;0;38.6;0;21.4;57.1;Libre
Limón;pieza;67;1;29.9;0.7;0.1;0;0;10.6;0.4;2.8;1.5;Libre
Limón agrio;pieza;28.5;1;20;1.2;0.3;0;0;10.7;0;2.1;3;Libre
